Date,price,returns,return,volatility
2025-11-16 00:00:00,95508.31019889197,,0.011136530578079062,
2025-11-17 00:00:00,94411.32947182967,-0.011485709722828141,-0.011485709722828141,
2025-11-18 00:00:00,92036.7255045672,-0.025151684448750267,-0.025151684448750267,
2025-11-19 00:00:00,92819.75921500899,0.00850783973624658,0.00850783973624658,
2025-11-20 00:00:00,91363.27838693369,-0.015691495435810054,-0.015691495435810054,
2025-11-21 00:00:00,86649.97257918229,-0.05158862390850316,-0.05158862390850316,
2025-11-22 00:00:00,85051.8019295002,-0.018443983328692348,-0.018443983328692348,
2025-11-23 00:00:00,84682.62429147748,-0.004340621005640033,-0.004340621005640033,0.018743196792300777
2025-11-24 00:00:00,86783.84766839583,0.024812922302525076,0.024812922302525076,0.024593949856028755
2025-11-25 00:00:00,88229.35740719768,0.016656437547286407,0.016656437547286407,0.025828147504858883
2025-11-26 00:00:00,87310.33159950442,-0.010416326659297148,-0.010416326659297148,0.02506912357702717
2025-11-27 00:00:00,90474.22677969698,0.03623735155085028,0.03623735155085028,0.029799341420377948
2025-11-28 00:00:00,91279.06057176423,0.008895724458933607,0.008895724458933607,0.019771740288770722
2025-11-29 00:00:00,90950.37695910994,-0.0036008654185905042,-0.0036008654185905042,0.017128786789659102
2025-11-30 00:00:00,90841.45258193677,-0.0011976242519824432,-0.0011976242519824432,0.016734547710295453
2025-12-01 00:00:00,90406.28448571145,-0.00479041322938778,-0.00479041322938778,0.016156252003624083
2025-12-02 00:00:00,86281.49519776918,-0.04562502829760895,-0.04562502829760895,0.024357586137669578
2025-12-03 00:00:00,91344.73275150165,0.058682774818943795,0.058682774818943795,0.033210163881153956
2025-12-04 00:00:00,93619.43750817103,0.024902418433448092,0.024902418433448092,0.03178972627298299
2025-12-05 00:00:00,92140.70419795791,-0.015795152690209924,-0.015795152690209924,0.032684560777274226
2025-12-06 00:00:00,89307.09154512963,-0.03075310393483055,-0.03075310393483055,0.034963581981586674
2025-12-07 00:00:00,89244.7620814118,-0.00069792289323789,-0.00069792289323789,0.03496619932453817
2025-12-08 00:00:00,90162.90714007126,0.010287943373325392,0.010287943373325392,0.03522988179569383
2025-12-09 00:00:00,90618.0535204608,0.005048044643042093,0.005048044643042093,0.028894573095904125
2025-12-10 00:00:00,92723.21372069631,0.023231134618888927,0.023231134618888927,0.020204241726440145
2025-12-11 00:00:00,92005.13714957413,-0.007744302017887228,-0.007744302017887228,0.017739688654105815
2025-12-12 00:00:00,92494.17691640415,0.005315352837689691,0.005315352837689691,0.0168440858025072
2025-12-13 00:00:00,90307.26028567803,-0.02364383038623763,-0.02364383038623763,0.014713235476963477
2025-12-14 00:00:00,90257.4292885891,-0.0005517939192406507,-0.0005517939192406507,0.014709393851698194
2025-12-15 00:00:00,88230.77409367911,-0.022454164835893686,-0.022454164835893686,0.016608818824169543
2025-12-16 00:00:00,86413.9190195637,-0.020592079042470512,-0.020592079042470512,0.017355975031567987
2025-12-17 00:00:00,87821.88919109134,0.016293326208349335,0.016293326208349335,0.015460895468275017
2025-12-18 00:00:00,86064.94716216,-0.020005741679143596,-0.020005741679143596,0.016155587160190422
2025-12-19 00:00:00,85450.3312009302,-0.007141304113877589,-0.007141304113877589,0.014905169287938077
2025-12-20 00:00:00,88103.86075721023,0.03105347304085293,0.03105347304085293,0.020539940435437894
2025-12-21 00:00:00,88347.94310567998,0.002770393333186183,0.002770393333186183,0.020653241809684263
2025-12-22 00:00:00,88577.42038358838,0.0025974263784942497,0.0025974263784942497,0.018779144051063356
2025-12-23 00:00:00,88491.12020788102,-0.0009742909122171239,-0.0009742909122171239,0.01638080847786929
2025-12-24 00:00:00,87406.43636737975,-0.012257544462689118,-0.012257544462689118,0.016222037241874897
2025-12-25 00:00:00,87642.60888119951,0.0027020036925782254,0.0027020036925782254,0.013772021899625337
2025-12-26 00:00:00,87229.78066010943,-0.004710359793712593,-0.004710359793712593,0.013511313470865084
2025-12-27 00:00:00,87305.95655961394,0.000873278585914683,0.000873278585914683,0.005542264489300838
2025-12-28 00:00:00,87807.003210775,0.0057389744171572055,0.0057389744171572055,0.005999093298569677
2025-12-29 00:00:00,87822.90829076794,0.0001811368047119899,0.0001811368047119899,0.005834146165053254
2025-12-30 00:00:00,87156.56266080117,-0.00758737831546874,-0.00758737831546874,0.006306547334730557
2025-12-31 00:00:00,88414.62856073362,0.01443455158768292,0.01443455158768292,0.007185800900791121
2026-01-01 00:00:00,87520.18048742875,-0.010116516778560625,-0.010116516778560625,0.008406209958707339
2026-01-02 00:00:00,88727.67004249741,0.013796698639602312,0.013796698639602312,0.009569833964679522
2026-01-03 00:00:00,89926.27924953419,0.0135088547514286,0.0135088547514286,0.010375274119389702
2026-01-04 00:00:00,90593.85443180417,0.007423582826300956,0.007423582826300956,0.010434140601835748
2026-01-05 00:00:00,91373.21588108438,0.008602807046551808,0.008602807046551808,0.010335513274517804
2026-01-06 00:00:00,93926.7956485658,0.027946699072129988,0.027946699072129988,0.011381753478635943
2026-01-07 00:00:00,93666.86387314305,-0.0027673868104188815,-0.0027673868104188815,0.012287128619619543
2026-01-08 00:00:00,91257.15544035907,-0.025726370384809183,-0.025726370384809183,0.016787752703466715
2026-01-09 00:00:00,90983.51578142625,-0.0029985556487310827,-0.0029985556487310827,0.01670641842585178
2026-01-10 00:00:00,90504.89560340019,-0.005260515313299963,-0.005260515313299963,0.016375069099594484
2026-01-11 00:00:00,90442.01907847001,-0.0006947306497728789,-0.0006947306497728789,0.016132589350797793
